Year,Cost (EUR),CO2 (tCO2)
2025,99906944.44327083,37076.30816320554
2025,99859311.00398713,37086.44849006305
2025,97599323.62848131,37710.093359977436
2025,96210189.07511558,38026.16707298506
2025,95101952.31666411,38599.010822717566
2025,93594722.47605637,39140.176320391474
2025,92477163.68982911,39789.612485447826
2025,90762135.5410664,41228.81694727081
2025,88006743.60623728,43504.32306150746
2025,86918306.27771264,44716.38498698261
2025,85698877.35840529,46114.402006698205
2025,85403167.40925284,46324.31610520511
2025,82484127.26895395,49667.32268399083
2025,80974173.94809231,52245.1940184524
2025,80757211.9592752,53476.686956635225
2025,79076560.57481581,55140.17736584974
2025,78290928.2144562,56529.55321821182
2025,77235582.22883043,59289.231475075576
2025,76677438.51492296,60312.64008926095
2025,75816437.10872242,62524.21272440499
2025,74868175.56198476,64950.215645098964
2025,74544187.67132616,65597.10683900226
2025,72657555.77846347,70534.15752251228
2025,71272945.76979165,75744.82748902054
2025,70896900.25730282,76944.3575553328
2025,70450316.45834896,80436.95265226922
2025,69758036.63775024,82682.37510548928
2025,69553077.61898306,84861.98872184
2025,69204360.6776399,86157.05302253008
2025,68025335.1769523,92222.01924499277
2025,67387314.07393055,93601.72435851628
2025,66967994.05153255,96424.28146783839
2025,66415492.49496792,99561.4925351289
2025,66222119.78966865,99656.83323796751
2025,65741468.06764828,103471.68717397272
2025,65738609.933397,103473.12152573947
2025,64601114.97576148,108493.22119666208
2025,64588895.2928527,108509.30780660224
2025,63940954.43294701,113176.1280339791
2025,63862196.38527843,113216.19364122848
2025,63135120.77154073,116310.69119285932
2025,62678870.46573998,118285.17438394291
2025,62402578.70507011,121364.86956000346
2025,61437481.468055256,126242.39628796082
2025,61019684.99517344,128378.20641240175
2025,60641956.969292864,131782.3863241752
2025,59838307.97273366,134371.44976690342
2025,59319500.663695894,136410.04819943637
2025,59160545.1423731,138647.92650259173
2025,57681956.07521119,145246.59582715592
2026,102335399.85789974,36413.718119655605
2026,102231364.90995309,36858.90913166887
2026,100084038.5340457,37118.51030705817
2026,99050668.32703727,37760.91012648403
2026,97420772.77697356,39200.14863469582
2026,96287470.61659515,39764.00167005237
2026,92472160.56827967,42149.49791142848
2026,92377752.04605868,42217.051045488144
2026,91044301.85262047,43196.55212488019
2026,88355782.74077919,46228.21352193528
2026,87105723.21198995,47595.13246171085
2026,85553688.74220574,49015.47039416092
2026,84915714.33676384,49759.05237481486
2026,83656033.3657832,51888.15128607333
2026,82739919.83894823,53134.37107069177
2026,81665642.58918315,54903.775910811506
2026,80650325.55110756,57324.06217180351
2026,79632648.56690978,58322.81600493941
2026,78584828.50597964,60541.18556678007
2026,78061955.47927831,63491.68863202362
2026,77024710.37956575,64750.01525446796
2026,76012095.34127326,66492.17759118258
2026,75130926.91141592,69814.40722698947
2026,74557150.75218593,71559.95246759665
